Produktname,Speicher,Preis_EUR
Kingston DC600M Data Center Series Mixed-Use SSD - 1DWPD 480GB,480GB,91.88
Kingston NV2 NVMe PCIe 4.0 SSD 500GB,500GB,39.96
Samsung OEM Datacenter SSD PM893 3.84TB,84TB,517.92
Lexar NM610 Pro 500GB,500GB,35.28
Verbatim Vi3000 PCIe NVMe SSD 256GB,256GB,20.9
Transcend MTE410S SSD 2TB,2TB,182.32
GIGABYTE AORUS Gen4 7300 SSD 2TB,2TB,144.43
Crucial T500 SSD 1TB,1TB,95.43
Western Digital WD Green SN350 NVMe SSD 500GB,500GB,38.79
Western Digital WD_BLACK SN770M NVMe SSD 500GB,500GB,72.46
Samsung OEM Enterprise SSD PM1653 920GB,920GB,279.1
Corsair Force Series MP600 Pro NH 8TB,8TB,847.06
Crucial P310 SSD 1TB,1TB,83.59
Verbatim Vi7000G PCIe NVMe SSD 2TB,2TB,130.99
Crucial MX500 2TB,2TB,175.36
TeamGroup T-Force Vulcan Z SSD 512GB,512GB,27.49
Patriot P210 2TB,2TB,100.9
Transcend MTE400S SSD 512GB,512GB,53.8
Intenso Performance SSD 2TB,2TB,124.9
KIOXIA EXCERIA Heatsink SSD 4096GB,4096GB,243.89
Verbatim Vi3000 PCIe NVMe SSD 2TB,2TB,100.74
Kingston SSDNow KC600 256GB,256GB,30.04
Samsung SSD 970 EVO Plus 2TB,2TB,226.8
Corsair Force Series MP600 Pro XT 2TB,2TB,166.27
Western Digital WD_BLACK SN7100 NVMe SSD 2TB,2TB,129.97
Western Digital WD Blue SA510 SSD 250GB,250GB,30.3
Western Digital WD Green SATA SSD 480GB,480GB,33.66
Verbatim Vi3000 PCIe NVMe SSD 512GB,512GB,31.9
Transcend MTE250S SSD 4TB,4TB,302.42
Crucial BX500 240GB,240GB,19.24
Transcend MTE220S SSD 256GB,256GB,34.87
Transcend SSD225S 2TB,2TB,126.04
Seagate FireCuda 540 SSD +Rescue 1TB,1TB,154.16
Samsung OEM Client SSD PM9A1 1TB,1TB,112.92
Samsung OEM Datacenter SSD PM9A3 3.84TB,84TB,522.51
Intenso Top Performance SSD 1TB,1TB,52.34
Western Digital WD Green SATA SSD 240GB,240GB,19.9
Samsung OEM Datacenter SSD PM897 960GB,960GB,286.92
ADATA LEGEND 900 2TB,2TB,119.89
Transcend MTS430S SSD 1TB,1TB,90.25
TeamGroup T-Force Vulcan Z QLC SSD 4TB,4TB,229.89
SanDisk Ultra 3D 500GB,500GB,34.28
Mushkin Source HC 16TB,16TB,2449.0
Apacer AS2280P4 1TB,1TB,55.9
Transcend MTE220S SSD 512GB,512GB,53.62
Corsair Force Series MP600 Pro LPX Black 2TB,2TB,151.16
Western Digital WD_BLACK SN7100 NVMe SSD 1TB,1TB,79.99
ADATA Ultimate SU650 512GB,512GB,30.49
Patriot P320 512GB,512GB,34.18
Samsung OEM Datacenter SSD PM883 960GB,960GB,109.82
Corsair Force Series MP600 Pro XT 8TB,8TB,839.8
Integral M.2 22x80 2020 2TB,2TB,111.88
ADATA LEGEND 970 PRO 4TB,4TB,1250.78
Samsung OEM Datacenter SSD PM893 1.92TB,92TB,285.0
Lexar NS100 2TB,2TB,120.33
KIOXIA PM7-R Enterprise - 1DWPD Read Intensive SSD 3.84TB,84TB,886.4
ADATA XPG MARS 980 BLADE 4TB,4TB,346.89
Lexar NQ710 1TB,1TB,65.56
Corsair Force Series MP600 GS 1TB,1TB,91.0
Samsung OEM Datacenter SSD PM9A3 15.36TB,36TB,1711.95
Crucial T705 SSD 4TB,4TB,418.77
Corsair Force Series MP600 Elite 2TB,2TB,154.18
ADATA LEGEND 710 2TB,2TB,111.89
Micron 5400 PRO - Read Intensive 960GB,960GB,194.83
Crucial P3 SSD 4TB,4TB,274.0
Intenso PCIe PREMIUM SSD 500GB,500GB,30.04
Crucial T705 SSD 1TB,1TB,149.23
PNY XLR8 CS3140 8TB,8TB,932.06
Verbatim Vi560 S3 SSD 512GB,512GB,32.65
GIGABYTE Gen4 4000E SSD 250GB,250GB,22.29
Western Digital WD Blue SN580 NVMe SSD 250GB,250GB,37.89
Corsair Force Series MP700 ELITE 2TB,2TB,213.46
KIOXIA EXCERIA PLUS G4 SSD 2TB,2TB,187.61
Corsair Force Series MP700 PRO SE 4TB,4TB,530.0
Apacer AS2280Q4U 2TB,2TB,119.9
PNY CS2140 500GB,500GB,41.6
TeamGroup MP33 PRO 1TB,1TB,55.9
Seagate FireCuda 520N SSD +Rescue 1TB,1TB,107.0
Crucial T700 SSD 2TB,2TB,229.67
HP SSD FX900 Pro M.2 4TB,4TB,279.75
Kingston DC2000B Data Center Series Boot SSD - 0.4DWPD 480GB,480GB,120.71
Crucial P310 SSD 1TB,1TB,93.08
ADATA LEGEND 800 2TB,2TB,109.82
Solidigm P44 Pro 1TB,1TB,145.62
GIGABYTE AORUS Gen5 14000 SSD 2TB,2TB,258.67
Western Digital Ultrastar DC SN655 - 1DWPD 7.68TB,68TB,990.58
Crucial P3 Plus SSD 1TB,1TB,75.87
PNY XLR8 CS3150 1TB,1TB,131.33
"Solidigm SSD D3-S4620 2.5"" 960GB",960GB,249.08
Western Digital Ultrastar DC SN650 - 1DWPD 15.36TB,36TB,1592.51
Emtec X400-10 SSD Power Pro 4TB,4TB,281.07
Transcend MTE220S SSD 1TB,1TB,72.71
Transcend SSD225S 1TB,1TB,70.54
Patriot P300 2TB,2TB,104.9
ADATA LEGEND 860 2TB,2TB,113.89
Verbatim Vi550 S3 SSD 128GB,128GB,13.9
Corsair Force Series MP700 PRO 4TB,4TB,479.99
Samsung OEM Datacenter SSD PM9A3 1.92TB,92TB,306.87
ADATA LEGEND 710 1TB,1TB,59.89
SanDisk PLUS SSD 1TB,1TB,51.42
Kingston DC600ME Data Center Series Mixed-Use SSD - 1DWPD 7.68TB,68TB,842.26
Micron 5400 MAX - Mixed Use 3.84TB,84TB,725.21
KIOXIA CD8P-R Data Center - 1DWPD Read Intensive SSD 1.92TB,92TB,485.02
Western Digital Ultrastar DC SN655 - 1DWPD 15.38TB,38TB,1686.77
"Solidigm SSD D3-S4520 2.5"" 1.92TB",92TB,283.87
Corsair Force Series MP600 Elite 4TB,4TB,329.99
Seagate FireCuda 520N SSD +Rescue 2TB,2TB,159.23
Transcend Industrial MTE452T-I SSD 512GB,512GB,140.21
Samsung Enterprise SSD PM9A3 3.84TB,84TB,766.76
Intenso PCIe PREMIUM SSD 1TB,1TB,53.07
Transcend MSA220S 64GB,64GB,13.57
Micron 5400 PRO - Read Intensive 1.92TB,92TB,314.32
Crucial P310 SSD 2TB,2TB,132.08
Crucial T700 SSD 1TB,1TB,155.06
Samsung SSD 980 PRO 2TB,2TB,211.65
Silicon Power UD90 4TB,4TB,242.33
PNY CS1030 500GB,500GB,34.98
Patriot P300 256GB,256GB,20.9
Crucial P310 SSD 4TB,4TB,254.11
GIGABYTE AORUS Gen4 7300 SSD 1TB,1TB,80.04
Transcend MTE110S SSD 128GB,128GB,18.54
Intenso Top Performance SSD 128GB,128GB,10.99
ADATA Ultimate SU650 1TB,1TB,51.9
Samsung OEM Client SSD PM9B1 1TB,1TB,77.88
Solidigm SSD D7-P5520 1.92TB,92TB,259.79
Solidigm SSD D7-P5520 3.84TB,84TB,697.6
Micron 5400 PRO - Read Intensive 3.84TB,84TB,570.34
Micron 5400 PRO - Read Intensive 7.68TB,68TB,1016.48
SanDisk Ultra NVMe SSD 2TB,2TB,127.3
Micron 9550 PRO - 1DWPD Read Intensive 30.72TB,72TB,4349.41
KIOXIA PM7-R Enterprise - 1DWPD Read Intensive SSD 15.36TB,36TB,2883.78
ADATA XPG Gammix S70 Blade 8TB,8TB,657.52
Transcend MSA370S 32GB,32GB,28.9
Kingston A400 SSD 960GB,960GB,56.08
SK hynix Platinum P41 SSD 2TB,2TB,176.21
Intenso High Performance SSD 480GB,480GB,28.02
Samsung OEM Datacenter SSD PM9A3 7.68TB,68TB,852.91
Patriot P210 512GB,512GB,29.14
Transcend MTE300S SSD 512GB,512GB,57.68
Samsung OEM Enterprise SSD PM1653 1.92TB,92TB,473.99
SanDisk SSD Plus 480GB,480GB,34.79
Transcend MTE220S SSD 2TB,2TB,150.82
Integral M2 Series M.2 2280 PCIe NVMe SSD 256GB,256GB,25.86
Western Digital WD_BLACK SN850X NVMe SSD 2TB,2TB,199.43
GIGABYTE Gen4 4000E SSD 500GB,500GB,36.49
Intenso Performance SSD 250GB,250GB,20.15
Micron 7450 PRO - 1DWPD Read Intensive 15.36TB,36TB,1928.59
Kingston A400 SSD 480GB,480GB,35.59
ADATA XPG MARS 980 BLADE 1TB,1TB,128.89
ADATA LEGEND 900 512GB,512GB,40.9
Corsair Force Series MP600 Elite für PS5 2TB,2TB,162.14
Transcend MTE245S SSD 500GB,500GB,55.68
Corsair Force Series MP600 Pro LPX Black 1TB,1TB,93.68
MSI Spatium M450 1TB,1TB,66.73
PNY CS900 1TB,1TB,55.8
Kingston SSDNow KC600 256GB,256GB,28.98
Transcend MSA370S 16GB,16GB,24.23
Transcend MSA370S 128GB,128GB,68.82
Micron 5400 MAX - Mixed Use 1.92TB,92TB,414.0
GIGABYTE SSD 256GB,256GB,16.9
HP SSD S650 1.92TB,92TB,107.79
ADATA LEGEND 960 MAX 1TB,1TB,91.89
Corsair Force Series MP600 Pro LPX White 2TB,2TB,159.23
SanDisk DC SN861 1.92TB,92TB,381.22
"Solidigm SSD D3-S4620 2.5"" 3.84TB",84TB,678.15
Transcend MTE255S SSD 1TB,1TB,84.56
Micron 7500 PRO - 1DWPD Read-Intensive 15.36TB,36TB,1791.02
Corsair Force Series MP700 PRO 1TB,1TB,166.43
Transcend SSD230S 4TB,4TB,293.23
Corsair Force Series MP600 Elite 1TB,1TB,89.99
Kingston SSDNow KC600 512GB,512GB,55.34
TeamGroup MP44 1TB,1TB,71.27
Lexar NQ100 480GB,480GB,31.17
ADATA LEGEND 960 1TB,1TB,89.89
Raspberry Pi SSD Kit 256GB,256GB,45.28
SanDisk DC SN861 3.84TB,84TB,581.62
Patriot Viper VP4300 Lite 1TB,1TB,69.19
Kingston FURY Renegade SSD 1TB,1TB,112.37
Western Digital Ultrastar DC SN861 - 1DWPD 7.68TB,68TB,963.88
Transcend MTE250S SSD 2TB,2TB,146.1
Corsair Force Series MP600 Pro NH 4TB,4TB,342.86
Transcend MSA220S 256GB,256GB,30.31
Seagate Game Drive M.2 SSD for PS5 1TB,1TB,145.09
Western Digital WD Green SN350 NVMe SSD 250GB,250GB,29.72
Corsair Force Series MP700 PRO SE 2TB,2TB,263.19
Transcend MTE255S SSD 2TB,2TB,142.28
Transcend MTE712P SSD 2TB,2TB,351.93
Transcend MTE245S SSD 1TB,1TB,81.82
Corsair Force Series MP600 Micro R2 2TB,2TB,193.5
TeamGroup MP44 8TB,8TB,809.0
Transcend MTE400S SSD 2TB,2TB,172.68
Corsair Force Series MP700 PRO SE 4TB,4TB,544.54
ADATA Ultimate SU650 256GB,256GB,21.24
Solidigm SSD D5-P5316 30.72TB,72TB,3293.69
Western Digital WD_BLACK SN850 NVMe SSD 1TB,1TB,235.96
Kingston SSDNow KC600 1024GB,1024GB,93.76
Samsung OEM Enterprise SSD PM1735 1.6TB,6TB,592.72
Samsung OEM Client SSD PM9A1 2TB,2TB,193.24
Integral M3 PLUS Series M.2 2280 PCIe NVMe SSD 2TB,2TB,114.45
Western Digital WD_BLACK SN850X NVMe SSD 1TB,1TB,119.98
ADATA XPG Gammix S55 512GB,512GB,50.9
Raspberry Pi SSD 256GB,256GB,34.18
Micron 2500 512GB,512GB,53.14
