Produktname,VRAM,Preis_EUR
ASUS Dual GeForce RTX 4060 Ti EVO OC,8GB,423.36
NVIDIA RTX 4000 SFF Ada Generation,20GB,1289.86
ASUS GeForce GT 730,2GB,66.43
Gainward GeForce RTX 5060 Ti Ghost,8GB,368.0
XFX Quicksilver Radeon RX 9070 XT Magnetic Air Edition,16GB,769.4
XFX Swift Radeon RX 9070 OC White Triple Fan Gaming Edition,16GB,669.9
INNO3D GeForce RTX 5080 X3 OC White,16GB,1199.9
Sparkle Arc B580 TITAN OC,12GB,289.3
AMD Radeon PRO W7500,8GB,319.9
XFX Swift Radeon RX 9060 XT OC White Gaming Edition,8GB,317.65
MSI GeForce RTX 5080 16G Inspire 3X OC,16GB,1430.92
GIGABYTE GeForce RTX 5070 Ti Eagle OC SFF 16G,16GB,896.47
Sparkle Arc A770 ROC OC Edition,16GB,304.96
GIGABYTE GeForce RTX 5070 Ti Aero OC 16G,16GB,986.22
ASUS Prime GeForce RTX 5060 OC,8GB,349.95
MSI GeForce RTX 3050 LP 6G OC,6GB,179.39
Sapphire Pulse Radeon RX 6500 XT OC,8GB,177.34
Sparkle Arc A580 ORC OC Edition,8GB,181.82
Acer Nitro Arc B580 OC,12GB,261.18
ASUS GeForce GT 710,2GB,47.69
INNO3D GeForce RTX 3080 Ti iCHILL X4,12GB,834.9
ASRock Arc B570 Challenger 10GB OC,10GB,253.07
GIGABYTE GeForce RTX 5060 Ti Windforce 8G,8GB,384.9
Sapphire Pulse Radeon RX 7600 XT OC,16GB,336.23
Intel Arc Pro A60,12GB,378.49
NVIDIA GeForce RTX 3090 Founders Edition,24GB,1789.99
Palit GeForce RTX 5070 Infinity 3,12GB,573.68
Sapphire Pulse Radeon RX 7900 XT,20GB,883.82
ASRock Radeon RX 7700 XT Challenger 12GB OC,12GB,414.98
GIGABYTE Radeon RX 7700 XT Gaming OC 12G,12GB,429.19
AMD Radeon PRO W6400,4GB,178.9
Sapphire Pulse Radeon RX 7900 XTX,24GB,1035.28
PNY GeForce RTX 5060 Ti Overclocked Dual Fan,16GB,476.35
Sparkle Arc A310 OMNI View,4GB,140.14
Biostar GeForce 210,1GB,39.99
ASUS Prime GeForce RTX 5070 OC White,12GB,684.88
Zotac Gaming GeForce RTX 5070 Ti Solid OC,16GB,946.89
ASUS GeForce RTX 4060 LP BRK OC,8GB,387.47
NVIDIA RTX 5000 Ada Generation,32GB,4085.98
Sparkle Arc B580 ROC LUNA OC Ultra,12GB,309.9
PowerColor Hellhound Radeon RX 9060 XT,8GB,342.35
NVIDIA RTX A400,4GB,164.5
GIGABYTE Radeon PRO W7900 Dual Slot AI TOP 48G,48GB,3822.1
MSI GeForce RTX 3050 Ventus 2X E 6G OC,6GB,174.14
GIGABYTE GeForce RTX 4060 Ti Eagle OC 8G,8GB,409.95
ASUS TUF Gaming GeForce RTX 4090 OC,24GB,2989.99
Sapphire Nitro+ Radeon RX 6700 XT,12GB,490.05
NVIDIA RTX 5000 Ada Generation,32GB,4192.84
INNO3D GeForce RTX 5060 Twin X2,8GB,300.99
ASRock Arc A770 Phantom Gaming 16GB OC,16GB,311.6
INNO3D GeForce RTX 5060 Ti Twin X2,16GB,452.77
Gainward GeForce RTX 3050 Pegasus / Pegasus V1 (GA107),8GB,191.9
PNY RTX 4000 SFF Ada Generation,20GB,1347.24
GIGABYTE GeForce RTX 5060 Ti Eagle OC 16G,16GB,469.0
XFX Speedster QICK 319 Radeon RX 7700 XT Black Edition,12GB,399.9
PNY RTX 2000 Ada Generation,16GB,671.66
PNY GeForce RTX 4070 SUPER XLR8 Gaming Verto Epic-X RGB Overclocked Triple Fan,12GB,821.69
GIGABYTE GeForce RTX 5060 Ti Aero OC 8G,8GB,438.88
NVIDIA RTX 6000 Ada Generation,48GB,7305.38
Sapphire Pure Radeon RX 7800 XT,16GB,693.92
NVIDIA L40S,48GB,7906.51
Zotac Gaming GeForce RTX 5070 Twin Edge OC,12GB,573.24
PNY GeForce RTX 5060 Overclocked Dual Fan,8GB,318.0
PNY RTX 4000 Ada Generation,20GB,1380.88
Biostar Radeon RX 550,4GB,92.9
GIGABYTE GeForce RTX 3060 Gaming OC 8G (Rev. 1.0),8GB,247.9
Gainward GeForce RTX 5070 Ti Phoenix GS V1,16GB,859.9
GIGABYTE GeForce RTX 5060 Ti Windforce OC 8G,8GB,374.99
Zotac Gaming GeForce RTX 5060 Ti Twin Edge,8GB,394.43
INNO3D GeForce RTX 5060 Twin X2 OC,8GB,329.75
MSI GeForce RTX 5070 12G Inspire 3X OC,12GB,664.52
MSI GeForce RTX 5060 8G Shadow 2X OC,8GB,321.68
Zotac Gaming GeForce RTX 4060 Twin Edge,8GB,321.26
XFX Radeon RX 7600,8GB,251.09
INNO3D GeForce RTX 5070 Twin X2 OC White,12GB,609.95
ASUS Dual Radeon RX 7700 XT OC,12GB,459.74
ASUS Prime GeForce RTX 5060 Ti,8GB,389.99
Zotac Gaming GeForce RTX 5060 Ti Twin Edge OC,8GB,389.99
Gainward GeForce RTX 5080 Phoenix GS,16GB,1184.98
ASUS Dual Radeon RX 6600 V3,8GB,249.16
GIGABYTE AORUS GeForce RTX 5070 Master 12G,12GB,749.0
ASUS Dual GeForce RTX 4060 EVO OC White,8GB,323.7
GIGABYTE GeForce RTX 3050 Windforce OC 6G V2,6GB,176.35
PowerColor Fighter Radeon RX 7800 XT,16GB,516.3
Zotac Gaming GeForce RTX 4070 SUPER Twin Edge,12GB,796.26
ASRock Radeon RX 6800 XT Phantom Gaming OC,16GB,545.64
GIGABYTE GeForce RTX 5060 Gaming OC 8G,8GB,334.01
AMD Radeon PRO W7700,16GB,829.9
Palit GeForce RTX 3050 KalmX,6GB,181.9
MSI GeForce RTX 5080 16G Ventus 3X OC WHITE,16GB,1322.99
ASUS ROG Strix GeForce RTX 4090 OC,24GB,3489.99
PNY RTX A400,4GB,162.1
INNO3D GeForce RTX 5070 Twin X2,12GB,578.98
INNO3D GeForce RTX 5060 Ti X3 OC,16GB,539.64
MSI GeForce RTX 4090 Suprim X 24G,24GB,2989.99
PNY RTX 2000E Ada Generation,16GB,725.88
PNY RTX 4500 Ada Generation,24GB,2407.0
Gainward GeForce RTX 3050 Pegasus,6GB,167.9
GIGABYTE GeForce RTX 3050 OC Low Profile 6G,6GB,197.09
MSI GeForce RTX 5090 32G Vanguard SOC Launch Edition,32GB,2839.0
Sapphire Toxic Radeon RX 6950 XT Limited Edition,16GB,858.18
INNO3D GeForce RTX 5070 Twin X2 OC,12GB,577.77
GIGABYTE GeForce RTX 4060 Gaming OC 8G,8GB,333.56
Sparkle Arc B570 GUARDIAN Luna OC,10GB,246.19
PNY RTX A400 (Power Limited),4GB,191.98
Zotac Gaming GeForce RTX 5060 Ti AMP,8GB,409.0
ASUS Dual GeForce RTX 4060 OC,8GB,348.99
Palit GeForce RTX 5080 GamingPro,16GB,1209.0
MSI GeForce RTX 5070 12G Vanguard SOC Launch Edition,12GB,735.9
Sapphire Toxic Radeon RX 6900 XT Extreme Edition,16GB,2276.8
ASUS ROG Strix GeForce RTX 4090,24GB,2989.99
